Feature ID,Surface,Feature / capability,User story,Expected behavior based on code,Code anchors,Initial test approach,Initial test command or route,Status,Test result,Errors,Fix status,Retest result,Notes
F001,CLI install,Install remem into Codex host,"As a Codex user, I want remem to install MCP and SessionStart/Stop hooks so future sessions get memory automatically.","`remem install --target codex` writes Codex MCP config, hooks, key/config/database files, and supports `--dry-run` without writing.",src/cli/types.rs; src/install/hosts/codex.rs; README.md,Temp HOME/REMEM_DATA_DIR first-run smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem install --target codex --dry-run && HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem install --target codex,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F002,CLI install,Install remem into Claude Code host,"As a Claude Code user, I want remem to install Claude hooks and MCP config so Claude captures and recalls memory.",`remem install --target claude` configures Claude Code integration without relying on Codex-only settings.,src/cli/types.rs; src/install/hosts/claude.rs; README.md,Temp HOME/REMEM_DATA_DIR dry-run and install smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem install --target claude --dry-run,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F003,CLI install,Hooks-only activation,"As a plugin user, I want hook activation without duplicate MCP registration because the plugin already supplies MCP.",`remem install --target codex --hooks-only` enables Codex hooks only; plugin activation script uses dry-run before writes.,plugins/remem/README.md; plugins/remem/scripts/activate-codex.js; src/cli/types.rs,Temp HOME dry-run through plugin activation path,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data node plugins/remem/scripts/activate-codex.js --dry-run,Passed,Focused CLI/plugin smoke passed for node plugins/remem/scripts/activate-codex.js --dry-run in temp HOME.,"",No fix needed,Passed after API smoke fix.,Activation path exercised without writing user config.
F004,CLI install,Uninstall remem integration,"As a user removing remem, I want hooks and MCP entries removed without deleting memory data.",`remem uninstall --target ...` removes integration config; `--dry-run` previews removal.,src/cli/types.rs; src/install.rs,"Install in temp HOME, dry-run uninstall, then uninstall",HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem uninstall --target codex --dry-run,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F005,CLI health,Status report,"As a user, I want a quick health summary of memory totals, queues, jobs, worker, and database schema.","`remem status` renders human output; `--json` emits stable fields including version, database, totals, capture_pipeline, pending_observations, jobs, worker_daemon, today, top_projects.",src/cli/types.rs; README.md; src/db/query/stats/,Temp data status JSON shape check,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem status --json,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F006,CLI health,Doctor diagnostics,"As a user, I want install, hook, MCP, database, and queue diagnostics with scriptable JSON.",`remem doctor --json` emits version/status/fails/warns/checks; `--quiet` suppresses human text when not JSON.,src/cli/types.rs; src/doctor/; README.md,Temp data doctor JSON/exit behavior check,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem doctor --json,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,doctor --json returned status=warn with fails=0 because this machine had older remem 0.5.93 binaries on PATH during the initial 0.5.118 QA run.,No repo fix; local environment warning only,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F007,CLI security,Database encryption and key migration,"As a local-first user, I want memory encrypted at rest and key format migrations supported.",`remem encrypt` initializes or migrates the SQLCipher DB; `--rekey-raw` migrates legacy passphrase key files.,src/cli/types.rs; src/db.rs; README.md,Temp data encrypt/status smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem encrypt && HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem status --json,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F008,CLI config,Runtime config inspect/edit,"As an operator, I want to inspect and edit remem config paths and memory-AI profile settings.",`remem config ...` and README examples expose config path/show/set behavior for `~/.remem/config.toml` or `REMEM_CONFIG`.,src/cli/types.rs; src/cli/config_types.rs; README.md,Help and temp config command smoke,target/release/remem config --help,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F009,CLI model,Memory AI model profile management,"As an operator, I want current/list/use/test/rollback commands to switch models safely with dry-run and rollback backup.",`remem model current/list/use/test/rollback` resolves host/profile config; `use --dry-run` previews diff; `test` only calls AI with `--live`.,src/cli/types.rs; src/runtime_config/model.rs; README.md,Help plus dry-run in temp config,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem model list && HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem model use balanced --dry-run,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F010,Hook runtime,SessionStart context rendering,"As an agent session, I want relevant preferences, memories, workstreams, and recent sessions rendered on SessionStart.",`remem context` accepts cwd/session_id/host/color/debug/force/gate; duplicate gates can suppress repeated injection.,src/cli/types.rs; src/context/; docs/ARCHITECTURE.md,Temp data context smoke with host,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem context --host codex-cli --cwd .,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
